ID;APOIO_ISOL_SOCIAL;COMP_FAM_ISOL_SOCIAL;FAIXA_ETARIA;NIVEL_ISOL_SOCIAL;SEXO
1;7;6;30 a 44 anos;Reduziu o contato social, mas nao esta fazendo o isolamento;Masculino
2;6;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
3;9;8;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
4;7;8;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
5;9;9;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
6;9;5;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
7;10;9;45 a 59 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Masculino
8;5;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
9;7;8;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
10;8;10;45 a 59 anos;Nao esta no isolamento porque sua atividade ‚ essencial (M‚dicos, Pol¡cia, Trabalhadores de Supermercado, Farmacias, Outros);Masculino
11;10;5;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
12;10;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
13;8;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
14;10;4;60 anos ou mais;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Feminino
15;10;10;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
16;6;5;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
17;5;7;30 a 44 anos;Reduziu o contato social, mas nao esta fazendo o isolamento;Masculino
18;7;10;30 a 44 anos;Reduziu o contato social, mas nao esta fazendo o isolamento;Masculino
19;10;5;30 a 44 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Masculino
20;10;10;16 a 29 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Masculino
21;10;10;16 a 29 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Masculino
22;10;10;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
23;10;9;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
24;4;7;60 anos ou mais;Reduziu o contato social, mas nao esta fazendo o isolamento;Masculino
25;10;9;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
26;10;7;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
27;7;7;30 a 44 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Feminino
28;9;9;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
29;10;9;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
30;10;9;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
31;10;8;16 a 29 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Feminino
32;10;5;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
33;10;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
34;9;;45 a 59 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Feminino
35;5;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
36;10;8;45 a 59 anos;Nao esta no isolamento porque sua atividade ‚ essencial (M‚dicos, Pol¡cia, Trabalhadores de Supermercado, Farmacias, Outros);Feminino
37;10;8;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
38;10;9;45 a 59 anos;Nao esta no isolamento porque sua atividade ‚ essencial (M‚dicos, Pol¡cia, Trabalhadores de Supermercado, Farmacias, Outros);Feminino
39;10;7;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
40;10;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
41;10;10;60 anos ou mais;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
